sede_id,sede,tipo_seccion
ESUIZ,Sección  Política,Seccion
EARGE,Sección  Política,Seccion
EMSIA,Sección  Política,Seccion
EECUA,Sección  Política,Seccion
EAUST,Sección  Política,Seccion
EEARB,Sección  Política,Seccion
ECORE,Sección  Política,Seccion
EEEUU,Sección  Política,Seccion
EVENE,Sección  Política,Seccion
EEGIP,Sección  Política,Seccion
EUNGR,Sección  Política,Seccion
EHAIT,Sección  Política,Seccion
ELBNO,Sección  Política,Seccion
EANGO,Sección  Política,Seccion
EMEXI,Sección  Política,Seccion
ENIGE,Sección  Política,Seccion
EQATR,Sección  Política,Seccion
EMARR,Sección  Política,Seccion
EURUG,Sección  Política,Seccion
EFRUS,Sección  Política,Seccion
EIRLA,Sección  Política,Seccion
EISIA,Sección  Política,Seccion
ETUNE,Sección  Política,Seccion
ECEUR,Sección  Política,Seccion
EHILE,Sección  Política,Seccion
ETAIL,Sección  Política,Seccion
ESURI,Sección  Política,Seccion
EITAL,Sección  Política,Seccion
EAZER,Sección  Política,Seccion
EUCRA,Sección  Política,Seccion
EINDI,Sección  Política,Seccion
EBELG,Sección  Política,Seccion
EMOZA,Sección  Política,Seccion
ERUNI,Seccion  Politica,Seccion
ENZEL,Sección  Política,Seccion
ESUEC,Sección  Política,Seccion
EBARB,Sección  Política,Seccion
EVIET,Sección  Política  y  Cooperación,Seccion
EESPA,Sección  Política  y  Cooperación  Jurídica,Seccion
ERUNI,Sección  Política  y  Coordinación,Seccion
ESING,Sección  Política  y  Cultural,Seccion
EISRA,Sección  Política  y  Cultural,Seccion
EFRAN,"Sección  Política, Asuntos  Juridicos  y  Derechos  Humanos",Seccion
EBOLV,"Sección  Política, Fronteras, Defensa  y  Seguridad",Seccion
EESPA,"Sección  Política, Prensa  y  Comunicación",Seccion
ECOLO,"Sección  Política, Tecnología  y  Ciencia",Seccion
EPBAJ,Sección  Política/Jurídica  ,Seccion
CSHAN,Sección  Prensa,Seccion
ERUNI,Seccion  Prensa,Seccion
EECUA,Sección  Prensa,Seccion
EARGE,Sección  Prensa,Seccion
CRECI,Sección  Prensa,Sección  Consular
EHILE,Sección  Prensa,Seccion
EVIET,Sección  Prensa  y  Cultura,Seccion
ECEUR,Sección  Prensa  y  Diplomacia  Pública,Seccion
ESSED,"Sección  Prensa, Redes  Sociales  y  Comunicación",Seccion
DITIC,Sección  prueba,Seccion
CSHAN,Sección  Turismo,Seccion
EALEM,Sección  Turismo,Seccion
CRIOJ,Sección  Turismo,Seccion
EMEXI,"Secciones  Cooperación, Educación, Turismo  y  Belice",Seccion
EHILE,Secretaría  Privada,Seccion
CNYOR,Turismo,Seccion
CNYOR,Visas,Seccion
